title,links
apple pie,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/
baby back ribs,https://www.allrecipes.com/recipe/220987/baked-bbq-baby-back-ribs/
baklava,https://www.allrecipes.com/recipe/9454/greek-baklava/
beef carpaccio,https://www.allrecipes.com/recipe/270851/beet-carpaccio-with-mint-vinaigrette/
beef tartare,https://www.ambitiouskitchen.com/moms-slow-cooker-beef-stew/
beet salad,https://www.ambitiouskitchen.com/roasted-beet-hummus/
beignets,https://www.bbcgoodfood.com/recipes/beignets
bibimbap,https://www.allrecipes.com/recipe/228240/bibimbap-korean-rice-with-mixed-vegetables/
bread pudding,https://www.allrecipes.com/recipe/7177/bread-pudding-ii/
breakfast burrito,https://www.allrecipes.com/recipe/8318088/ham-and-cheese-bisuit-muffins/
bruschetta,https://www.allrecipes.com/recipe/54165/balsamic-bruschetta/
caesar salad,https://www.allrecipes.com/recipe/246106/classic-chicken-caesar-salad/
cannoli,https://www.allrecipes.com/recipe/88849/cannoli/
caprese salad,https://www.allrecipes.com/recipe/8453629/caprese-pasta-with-thai-basil/
carrot cake,https://www.allrecipes.com/recipe/7402/carrot-cake-iii/
ceviche,https://www.allrecipes.com/recipe/12819/ceviche/
cheese plate,https://www.allrecipes.com/recipe/189930/southern-pimento-cheese/
cheesecake,https://www.allrecipes.com/recipe/126432/master-recipe-for-rich-and-creamy-cheesecake/
chicken curry,https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/
chicken quesadilla,https://www.allrecipes.com/recipe/21659/chicken-quesadillas/
chicken wings,https://www.allrecipes.com/recipe/187822/baked-chicken-wings/
chocolate cake,https://www.allrecipes.com/recipe/17528/extreme-chocolate-cake/
chocolate mousse,https://www.allrecipes.com/recipe/8529769/5-minute-baileys-chocolate-mousse/
churros,https://www.allrecipes.com/recipe/24700/churros/
clam chowder,https://www.allrecipes.com/recipe/13041/my-best-clam-chowder/
club sandwich,https://www.allrecipes.com/recipe/32150/lorraines-club-sandwich/
crab cakes,https://www.allrecipes.com/recipe/139340/baked-maryland-lump-crab-cakes/
creme brulee,https://www.allrecipes.com/recipe/19029/creme-brulee-ii/
croque madame,https://www.allrecipes.com/recipe/282252/croque-madame-on-brioche/
cup cakes,https://www.allrecipes.com/recipe/8487/raspberry-cup-cakes/
deviled eggs,https://www.allrecipes.com/recipe/228129/classic-savory-deviled-eggs/
donuts,https://www.allrecipes.com/recipe/276267/baked-chocolate-donuts/
dumplings,https://www.allrecipes.com/recipe/6900/dumplings/
edamame,https://www.allrecipes.com/recipe/110061/healthy-garden-salad/
eggs benedict,https://www.allrecipes.com/recipe/17205/eggs-benedict/
